IMAX,JMAX,KMAX
37,9,2
I,J,K,X,Y,Z
10,6,1,1.07372,-0.374877,-0.012
11,6,1,1.17354,-0.339575,-0.013
12,6,1,1.26852,-0.282781,-0.015
13,6,1,1.36064,-0.212924,-0.016
14,6,1,1.45452,-0.134024,-0.017
15,6,1,1.55652,-0.0567812,-0.018
16,6,1,1.67154,0.0114249,-0.02
17,6,1,1.80078,0.0581374,-0.021
18,6,1,1.94,0.075,-0.022
19,6,1,2.07922,0.0581374,-0.023
20,6,1,2.20846,0.0114249,-0.024
21,6,1,2.32348,-0.0567813,-0.026
22,6,1,2.42548,-0.134024,-0.027
23,6,1,2.51948,-0.213025,-0.028
24,6,1,2.61148,-0.282781,-0.029
25,6,1,2.70646,-0.339575,-0.031
26,6,1,2.80622,-0.375863,-0.032
27,6,1,2.91,-0.388,-0.033
28,6,1,3.01372,-0.374877,-0.034
29,6,1,3.11354,-0.339575,-0.035
30,6,1,3.20852,-0.282781,-0.037
31,6,1,3.30064,-0.212924,-0.038
32,6,1,3.39452,-0.134024,-0.039
33,6,1,3.49652,-0.0567812,-0.04
34,6,1,3.61154,0.0114249,-0.042
35,6,1,3.74078,0.0581374,-0.043
36,6,1,3.88,0.075,-0.044
0,7,1,0,0.1125,0
1,7,1,0.148111,0.0945687,-0.001
2,7,1,0.284732,0.0452124,-0.002
3,7,1,0.404739,-0.0258906,-0.004
4,7,1,0.50924,-0.105012,-0.005
5,7,1,0.60324,-0.184012,-0.006
6,7,1,0.692739,-0.251891,-0.007
7,7,1,0.782732,-0.305788,-0.009
8,7,1,0.875111,-0.339431,-0.01
9,7,1,0.97,-0.3505,-0.011
10,7,1,1.06486,-0.338438,-0.012
11,7,1,1.15727,-0.305788,-0.013
12,7,1,1.24726,-0.251891,-0.015
13,7,1,1.33682,-0.183962,-0.016
14,7,1,1.43076,-0.105012,-0.017
15,7,1,1.53526,-0.0258906,-0.018
16,7,1,1.65527,0.0452124,-0.02
17,7,1,1.79189,0.0945687,-0.021
18,7,1,1.94,0.1125,-0.022
19,7,1,2.08811,0.0945687,-0.023
20,7,1,2.22473,0.0452124,-0.024
21,7,1,2.34474,-0.0258906,-0.026
22,7,1,2.44924,-0.105012,-0.027
23,7,1,2.54324,-0.184012,-0.028
24,7,1,2.63274,-0.251891,-0.029
25,7,1,2.72273,-0.305788,-0.031
26,7,1,2.81511,-0.339431,-0.032
27,7,1,2.91,-0.3505,-0.033
28,7,1,3.00486,-0.338438,-0.034
29,7,1,3.09727,-0.305788,-0.035
30,7,1,3.18726,-0.251891,-0.037
31,7,1,3.27682,-0.183962,-0.038
32,7,1,3.37076,-0.105012,-0.039
33,7,1,3.47526,-0.0258906,-0.04
34,7,1,3.59527,0.0452124,-0.042
35,7,1,3.73189,0.0945687,-0.043
36,7,1,3.88,0.1125,-0.044
0,8,1,0,0.15,0
1,8,1,0.157,0.131,-0.001
2,8,1,0.301,0.079,-0.002
3,8,1,0.426,0.005,-0.004
4,8,1,0.533,-0.076,-0.005
5,8,1,0.627,-0.155,-0.006
6,8,1,0.714,-0.221,-0.007
7,8,1,0.799,-0.272,-0.009
