     X                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18
           67  0.3259828E+04  0.3244541E+04  0.3226839E+04  0.3205808E+04  0.3180295E+04  0.3162903E+04  0.3145551E+04  0.3128028E+04  0.3110200E+04  0.3091973E+04  0.3073275E+04  0.3054053E+04  0.3034274E+04  0.3013935E+04  0.2989993E+04  0.2965861E+04  0.2941519E+04  0.2916919E+04
           68  0.3283587E+04  0.3269553E+04  0.3253013E+04  0.3233434E+04  0.3211272E+04  0.3195112E+04  0.3179030E+04  0.3162615E+04  0.3145714E+04  0.3128234E+04  0.3110106E+04  0.3091276E+04  0.3071715E+04  0.3051424E+04  0.3028876E+04  0.3006027E+04  0.2982881E+04  0.2959389E+04
           69  0.3309866E+04  0.3297672E+04  0.3282652E+04  0.3264156E+04  0.3240550E+04  0.3227244E+04  0.3212838E+04  0.3197687E+04  0.3181810E+04  0.3165150E+04  0.3147645E+04  0.3129241E+04  0.3109900E+04  0.3089618E+04  0.3068487E+04  0.3046951E+04  0.3025056E+04  0.3002756E+04
           70  0.3338604E+04  0.3328516E+04  0.3315204E+04  0.3297785E+04  0.3272816E+04  0.3260448E+04  0.3247375E+04  0.3233474E+04  0.3218675E+04  0.3202901E+04  0.3186076E+04  0.3168136E+04  0.3149023E+04  0.3128664E+04  0.3108978E+04  0.3088786E+04  0.3068196E+04  0.3047192E+04
           71  0.3360861E+04  0.3351661E+04  0.3340026E+04  0.3325402E+04  0.3305118E+04  0.3294335E+04  0.3282711E+04  0.3270131E+04  0.3256485E+04  0.3241668E+04  0.3225589E+04  0.3208171E+04  0.3189357E+04  0.3169121E+04  0.3150817E+04  0.3132000E+04  0.3112763E+04  0.3093225E+04
           72  0.3382712E+04  0.3374377E+04  0.3364392E+04  0.3352533E+04  0.3337863E+04  0.3329025E+04  0.3318958E+04  0.3307801E+04  0.3295408E+04  0.3281637E+04  0.3266375E+04  0.3249534E+04  0.3231049E+04  0.3210901E+04  0.3193990E+04  0.3176566E+04  0.3158569E+04  0.3139878E+04
           73  0.3407911E+04  0.3400606E+04  0.3392514E+04  0.3383733E+04  0.3374337E+04  0.3364892E+04  0.3356233E+04  0.3346631E+04  0.3335620E+04  0.3322998E+04  0.3308635E+04  0.3292430E+04  0.3274291E+04  0.3254139E+04  0.3238881E+04  0.3223029E+04  0.3206482E+04  0.3188938E+04
           74  0.3427802E+04  0.3421338E+04  0.3414733E+04  0.3408288E+04  0.3402110E+04  0.3400039E+04  0.3394378E+04  0.3386759E+04  0.3377314E+04  0.3365955E+04  0.3352582E+04  0.3337091E+04  0.3319370E+04  0.3299290E+04  0.3285938E+04  0.3271871E+04  0.3257235E+04  0.3242228E+04
           75  0.3456797E+04  0.3451508E+04  0.3447029E+04  0.3443969E+04  0.3442795E+04  0.3438438E+04  0.3434301E+04  0.3428548E+04  0.3420741E+04  0.3410733E+04  0.3398435E+04  0.3383753E+04  0.3366555E+04  0.3346664E+04  0.3334744E+04  0.3322249E+04  0.3309225E+04  0.3295698E+04
           76  0.3479448E+04  0.3474732E+04  0.3471628E+04  0.3471061E+04  0.3474961E+04  0.3476640E+04  0.3475675E+04  0.3472182E+04  0.3466139E+04  0.3457548E+04  0.3446401E+04  0.3432633E+04  0.3416100E+04  0.3396555E+04  0.3385998E+04  0.3375038E+04  0.3363629E+04  0.3351724E+04
           77  0.3519175E+04  0.3515392E+04  0.3514472E+04  0.3517656E+04  0.3510960E+04  0.3517132E+04  0.3519300E+04  0.3518091E+04  0.3513795E+04  0.3506613E+04  0.3496653E+04  0.3483909E+04  0.3468240E+04  0.3449342E+04  0.3440592E+04  0.3431394E+04  0.3421791E+04  0.3411753E+04
           78  0.3543403E+04  0.3539987E+04  0.3539777E+04  0.3543528E+04  0.3553129E+04  0.3561273E+04  0.3565978E+04  0.3566753E+04  0.3563991E+04  0.3558093E+04  0.3549303E+04  0.3537683E+04  0.3523120E+04  0.3505322E+04  0.3498293E+04  0.3490931E+04  0.3483289E+04  0.3475349E+04
           79  0.3580742E+04  0.3578021E+04  0.3578875E+04  0.3583723E+04  0.3593044E+04  0.3608659E+04  0.3616265E+04  0.3618578E+04  0.3616929E+04  0.3612059E+04  0.3604354E+04  0.3593936E+04  0.3580706E+04  0.3564343E+04  0.3558984E+04  0.3553504E+04  0.3547956E+04  0.3542351E+04
           80  0.3632082E+04  0.3630558E+04  0.3632446E+04  0.3638327E+04  0.3649430E+04  0.3663983E+04  0.3671502E+04  0.3673936E+04  0.3672650E+04  0.3668428E+04  0.3661673E+04  0.3652522E+04  0.3640876E+04  0.3626374E+04  0.3622646E+04  0.3619049E+04  0.3615648E+04  0.3612510E+04
